2012,5359,4535,6265,21801,18729,24979,16414,14264,18638,NA,MonmouthCounty,combined,combined
2013,4569,3283,6053,20017,15978,24362,17205,14163,20787,NA,MonmouthCounty,combined,combined
2014,4482,3356,5709,19537,15928,23581,17492,14790,20645,NA,MonmouthCounty,combined,combined
2015,4496,3303,6034,20083,16156,24774,18567,15024,21963,NA,MonmouthCounty,combined,combined
2016,4397,3327,5731,20237,16125,24592,19172,15615,22881,NA,MonmouthCounty,combined,combined
2017,4251,2923,5797,19153,15065,23807,18286,14698,21960,NA,MonmouthCounty,combined,combined
2018,4037,2779,5705,19139,14600,24736,17537,13592,22116,NA,MonmouthCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,MonmouthCounty,combined,combined
2020,4183,2928,5687,19443,15042,24413,19543,15566,23783,NA,MonmouthCounty,combined,combined
2021,4505,3720,5494,21169,17747,25074,20229,17212,23772,NA,MonmouthCounty,combined,combined
2004,3542,2707,4456,10337,8207,12671,8546,6951,10348,NA,MorrisCounty,combined,combined
2005,3371,2376,4526,10244,7999,12767,8206,6400,10314,NA,MorrisCounty,combined,combined
2006,3658,2930,4474,12260,9973,14796,8524,7069,10204,NA,MorrisCounty,combined,combined
2007,3561,2879,4347,12560,10247,15264,8683,7180,10292,NA,MorrisCounty,combined,combined
2008,3545,2910,4205,12574,10508,14749,8841,7441,10239,NA,MorrisCounty,combined,combined
2009,3276,2704,3919,11422,9529,13629,8504,7173,9995,NA,MorrisCounty,combined,combined
2010,3754,2782,4964,12594,9865,15696,11022,9022,13422,NA,MorrisCounty,combined,combined
2011,4008,3277,4821,14189,11776,16991,10516,8761,12380,NA,MorrisCounty,combined,combined
2012,3666,3069,4383,14409,12356,16946,11097,9514,12909,NA,MorrisCounty,combined,combined
2013,3107,2325,4116,12593,10101,15277,11757,9644,13983,NA,MorrisCounty,combined,combined
2014,3197,2448,4051,13241,10808,16120,12439,10403,14479,NA,MorrisCounty,combined,combined
2015,2890,2107,3730,12822,10244,15647,11957,9612,14360,NA,MorrisCounty,combined,combined
2016,2793,2094,3628,12489,9833,15658,11721,9504,14436,NA,MorrisCounty,combined,combined
2017,3049,2233,3995,13010,10226,16205,12820,10500,15450,NA,MorrisCounty,combined,combined
2018,2984,1980,4240,12970,9436,16897,12215,9223,15768,NA,MorrisCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,MorrisCounty,combined,combined
2020,2919,2013,3983,12389,9204,15944,12928,9977,16246,NA,MorrisCounty,combined,combined
2021,3248,2545,4031,14366,11458,17763,13352,10732,16066,NA,MorrisCounty,combined,combined
2004,3867,2941,4934,10127,8294,12348,17300,14371,20235,NA,OceanCounty,combined,combined
2005,4484,3307,5919,13100,10643,16445,20164,17164,23484,NA,OceanCounty,combined,combined
2006,5051,4358,5839,14037,12337,15989,20243,17909,22750,NA,OceanCounty,combined,combined
